Ingredience,Produkt,ID,URL,IMG,Cena,Jednotková cena,Jednotka,Velikost balení,Jednotka balení,Kategorie,Podobnost,Původ kategorie,seznam_receptu,Vhodný produkt
sůl,Bad Ischler Alpská jemná sůl,770074,https://www.kosik.cz/p770074-bad-ischler-alpska-jemna-sul,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/8d/860x800x1_8dn15hxnn88p.jpg,22.9,22.9,kg,1.0,kg,0,0.408,True,"babiččina sekaná, dokonalý domácí hamburger, dršťková polévka, hovězí guláš, jednoduché palačinky, kuřecí vývar s játrovými knedlíčky, svíčková, valašská kyselica",True
tymián sušený,Vitana Tymián,739958,https://www.kosik.cz/p739958-vitana-tymian-1,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/5l/860x800x1_5lxo056s5sqj.jpg,21.9,1825.0,kg,12.0,g,0,0.624,True,svíčková,True
třtinový cukr,Essa Cukr třtinový,776518,https://www.kosik.cz/p776518-essa-cukr-trtinovy,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/vk/860x800x1_vk5thh4fy4bh.jpg,67.9,67.9,kg,1.0,kg,0,0.81,True,dokonalý domácí hamburger,True
vanilkový cukr,Fine Life Cukr vanilinový,711848,https://www.kosik.cz/p711848-fine-life-cukr-vanilinovy,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/nu/860x800x1_nub7d9ua8xnf.jpg,2.73,136.5,kg,20.0,g,0,0.703,True,babiččina bábovka,True
vejce,"Vejce Kosičky čerstvá podestýlková, vel. S",147017,https://www.kosik.cz/p147017-pvv-v-kosickach-cerstva-vejce-velikost-s-podestylkova,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/y0/860x800x1_y0e9qzu77a72.jpg,169.9,5.663333333,ks,30.0,ks,0,0.505,True,"babiččina bábovka, babiččina sekaná, dokonalý domácí hamburger, jednoduché palačinky, kuřecí vývar s játrovými knedlíčky",True
vývar,Cibule Bistro Hovězí vývar ,739998,https://www.kosik.cz/p739998-cibule-hovezi-vyvar,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/gy/860x800x1_gy1c5o8i8s1v.jpg,99.9,99.9,l,1.0,l,0,0.473,True,"dršťková polévka, hovězí guláš",True
vývar kuřecí,Cibule Bistro Kuřecí vývar ,740000,https://www.kosik.cz/p740000-cibule-kureci-vyvar,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/47/860x800x1_47b2yjg9yoeh.jpg,99.9,99.9,l,1.0,l,0,0.734,True,klasická česnečka,True
worcesterská omáčka,Kucharek Worchestr omáčka,275424,https://www.kosik.cz/p275424-kucharek-omacka-worcester,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/ph/860x800x1_phacx0uh3ex5.jpg,24.9,134.594594595,l,185.0,ml,0,0.59,True,"dokonalý domácí hamburger, hovězí guláš",True
zakysaná smetana,Bohušovická mlékárna Zakysaná smetana krémová (15%),626989,https://www.kosik.cz/p626989-bohusovicka-mlekarna-zakysana-smetana-15-kremova,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/yn/860x800x1_yn70iz2uczad.jpg,14.9,82.777777778,kg,180.0,g,0,0.668,True,"svíčková, valašská kyselica",True
zelí kysané,Samir Zelí kysané bílé,9747,https://www.kosik.cz/p9747-zeli-kysane-bile-samir,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/r4/860x800x1_r496p164kxsv.jpg,21.9,43.8,kg,500.0,g,0,0.665,True,valašská kyselica,True
česnek,"Česnek bílý, 1 ks",10287,https://www.kosik.cz/p10287-cesnek-cerstvy,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/4t/860x800x1_4tv3vr1l3dlq.jpg,8.995,179.9,kg,50.0,g,0,0.708,True,"babiččina sekaná, dokonalý domácí hamburger, dršťková polévka, klasická česnečka, kuřecí vývar s játrovými knedlíčky",True
